month,observations,average_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct
1,10,4.234966000444142,3.7235570000972884,80.0,15.394662866774734,-11.731881041694404
2,10,1.7301637674420345,1.2485692727353226,70.0,10.936605440708181,-4.966258815682045
3,10,-0.8048356940459535,0.92654444561307,50.0,9.210084699359978,-11.430401443366145
4,10,2.9267102587560094,-0.7625132090163911,30.0,38.42149554516246,-14.851560506434092
5,10,7.78308874525082,9.08611038195657,90.0,22.14152769266857,-16.7075782381346
6,10,3.869086756394281,6.5887251717348105,70.0,16.571459182080737,-17.50546042564296
7,10,1.9354232335730284,4.473774331661884,80.0,16.073932227995115,-20.607062074029358
8,10,-0.27070062417674073,1.455558108565913,60.0,5.805066660114844,-9.765296227682697
9,9,-0.7525215770177431,-0.7215359443275116,44.44444444444444,12.363508699276116,-13.845198356571952
10,9,1.6560500983750133,3.3706161029092963,66.66666666666666,13.482961146967543,-12.031545325460991
11,9,7.514646265393618,3.9740310970951542,66.66666666666666,18.580242015688732,-2.815324686834142
12,9,1.2090480992958827,1.0833140477888303,66.66666666666666,12.105797895631065,-10.426445692282904
