year,month,month_end_date,previous_month_close,month_end_close,monthly_return_pct,is_complete_month
2017,1,2017-01-31,5383.1201171875,5614.7900390625,4.3036364939231575,True
2017,2,2017-02-28,5614.7900390625,5825.43994140625,3.751696873404775,True
2017,3,2017-03-31,5825.43994140625,5911.740234375,1.4814382061574705,True
2017,4,2017-04-28,5911.740234375,6047.60986328125,2.298301743980713,True
2017,5,2017-05-31,6047.60986328125,6198.52001953125,2.4953685780273016,True
2017,6,2017-06-30,6198.52001953125,6140.419921875,-0.9373220941963467,True
2017,7,2017-07-31,6140.419921875,6348.1201171875,3.3825080036069988,True
2017,8,2017-08-31,6348.1201171875,6428.66015625,1.268722670266409,True
2017,9,2017-09-29,6428.66015625,6495.9599609375,1.0468714016881098,True
2017,10,2017-10-31,6495.9599609375,6727.669921875,3.5669856700295766,True
2017,11,2017-11-30,6727.669921875,6873.97021484375,2.1746056906426947,True
2017,12,2017-12-29,6873.97021484375,6903.39013671875,0.42799024370909766,True
2018,1,2018-01-31,6903.39013671875,7411.47998046875,7.3600047757332865,True
2018,2,2018-02-28,7411.47998046875,7273.009765625,-1.8683207025945725,True
2018,3,2018-03-29,7273.009765625,7063.4501953125,-2.8813321728640817,True
2018,4,2018-04-30,7063.4501953125,7066.27001953125,0.0399213435471113,True
2018,5,2018-05-31,7066.27001953125,7442.1201171875,5.318932005391752,True
2018,6,2018-06-29,7442.1201171875,7510.2998046875,0.9161325862309111,True
2018,7,2018-07-31,7510.2998046875,7671.7900390625,2.1502501707615806,True
2018,8,2018-08-31,7671.7900390625,8109.5400390625,5.705969503481012,True
2018,9,2018-09-28,8109.5400390625,8046.35009765625,-0.7792049993202155,True
2018,10,2018-10-31,8046.35009765625,7305.89990234375,-9.202311437184163,True
2018,11,2018-11-30,7305.89990234375,7330.5400390625,0.33726354108472023,True
2018,12,2018-12-31,7330.5400390625,6635.27978515625,-9.4844343009027,True
2019,1,2019-01-31,6635.27978515625,7281.740234375,9.742776041862511,True
2019,2,2019-02-28,7281.740234375,7532.52978515625,3.4440881260408673,True
2019,3,2019-03-29,7532.52978515625,7729.31982421875,2.6125358236259277,True
2019,4,2019-04-30,7729.31982421875,8095.39013671875,4.736125827695337,True
2019,5,2019-05-31,8095.39013671875,7453.14990234375,-7.933406834365552,True
2019,6,2019-06-28,7453.14990234375,8006.240234375,7.420893706395515,True
2019,7,2019-07-31,8006.240234375,8175.419921875,2.113097815546716,True
2019,8,2019-08-30,8175.419921875,7962.8798828125,-2.5997446136534985,True
2019,9,2019-09-30,7962.8798828125,7999.33984375,0.4578740540366111,True
2019,10,2019-10-31,7999.33984375,8292.3603515625,3.663058621536641,True
2019,11,2019-11-29,8292.3603515625,8665.4697265625,4.499435132841234,True
2019,12,2019-12-31,8665.4697265625,8972.599609375,3.5442958374321654,True
2020,1,2020-01-31,8972.599609375,9150.9404296875,1.9876159427214546,True
2020,2,2020-02-28,9150.9404296875,8567.3701171875,-6.377162183318119,True
2020,3,2020-03-31,8567.3701171875,7700.10009765625,-10.122943303118992,True
2020,4,2020-04-30,7700.10009765625,8889.5498046875,15.447197983741724,True
2020,5,2020-05-29,8889.5498046875,9489.8701171875,6.753101402091799,True
2020,6,2020-06-30,9489.8701171875,10058.76953125,5.994807168457905,True
2020,7,2020-07-31,10058.76953125,10745.26953125,6.8248904388078735,True
2020,8,2020-08-31,10745.26953125,11775.4599609375,9.587385655533742,True
2020,9,2020-09-30,11775.4599609375,11167.509765625,-5.162857309432001,True
2020,10,2020-10-30,11167.509765625,10911.58984375,-2.291647173327338,True
2020,11,2020-11-30,10911.58984375,12198.740234375,11.796176442264827,True
2020,12,2020-12-31,12198.740234375,12888.2802734375,5.6525512127837185,True
2021,1,2021-01-29,12888.2802734375,13070.6904296875,1.415318043835101,True
2021,2,2021-02-26,13070.6904296875,13192.349609375,0.9307785257554269,True
2021,3,2021-03-31,13192.349609375,13246.8701171875,0.413273673203407,True
2021,4,2021-04-30,13246.8701171875,13962.6796875,5.403612808007785,True
2021,5,2021-05-28,13962.6796875,13748.740234375,-1.532223455047299,True
2021,6,2021-06-30,13748.740234375,14503.9501953125,5.492939338902492,True
2021,7,2021-07-30,14503.9501953125,14672.6796875,1.1633347461578625,True
2021,8,2021-08-31,14672.6796875,15259.240234375,3.9976375097638517,True
2021,9,2021-09-30,15259.240234375,14448.580078125,-5.312585317477336,True
2021,10,2021-10-29,14448.580078125,15498.3896484375,7.265832106934167,True
2021,11,2021-11-30,15498.3896484375,15537.6904296875,0.25357977274731436,True
2021,12,2021-12-31,15537.6904296875,15644.9697265625,0.6904455804449761,True
2022,1,2022-01-31,15644.9697265625,14239.8798828125,-8.981096597230199,True
2022,2,2022-02-28,14239.8798828125,13751.400390625,-3.4303624483314143,True
2022,3,2022-03-31,13751.400390625,14220.51953125,3.4114281258570633,True
2022,4,2022-04-29,14220.51953125,12334.6396484375,-13.26168062051618,True
2022,5,2022-05-31,12334.6396484375,12081.3896484375,-2.0531609128287776,True
2022,6,2022-06-30,12081.3896484375,11028.740234375,-8.712982899269706,True
2022,7,2022-07-29,11028.740234375,12390.6904296875,12.349100317618289,True
2022,8,2022-08-31,12390.6904296875,11816.2001953125,-4.63646668952804,True
2022,9,2022-09-30,11816.2001953125,10575.6201171875,-10.498976469754972,True
2022,10,2022-10-31,10575.6201171875,10988.150390625,3.9007667528361267,True
2022,11,2022-11-30,10988.150390625,11468.0,4.366973442449451,True
2022,12,2022-12-30,11468.0,10466.48046875,-8.73316647410185,True
2023,1,2023-01-31,10466.48046875,11584.5498046875,10.682381143076158,True
2023,2,2023-02-28,11584.5498046875,11455.5400390625,-1.1136364191968728,True
2023,3,2023-03-31,11455.5400390625,12221.91015625,6.6899518885555675,True
2023,4,2023-04-28,12221.91015625,12226.580078125,0.038209427293267595,True
2023,5,2023-05-31,12226.580078125,12935.2900390625,5.79646930220068,True
2023,6,2023-06-30,12935.2900390625,13787.919921875,6.591501854521198,True
2023,7,2023-07-31,13787.919921875,14346.01953125,4.047743332839904,True
2023,8,2023-08-31,14346.01953125,14034.9697265625,-2.168195881860735,True
2023,9,2023-09-29,14034.9697265625,13219.3203125,-5.811550932801845,True
2023,10,2023-10-31,13219.3203125,12851.240234375,-2.784410010679206,True
2023,11,2023-11-30,12851.240234375,14226.2197265625,10.69919686435905,True
2023,12,2023-12-29,14226.2197265625,15011.349609375,5.518893268227432,True
2024,1,2024-01-31,15011.349609375,15164.009765625,1.0169648980439483,True
2024,2,2024-02-29,15164.009765625,16091.919921875,6.119160898679055,True
2024,3,2024-03-28,16091.919921875,16379.4599609375,1.786859743638325,True
2024,4,2024-04-30,16379.4599609375,15657.8203125,-4.405759714657864,True
2024,5,2024-05-31,15657.8203125,16735.01953125,6.879624349054803,True
2024,6,2024-06-28,16735.01953125,17732.599609375,5.9610332468520655,True
2024,7,2024-07-31,17732.599609375,17599.400390625,-0.7511544933297865,True
2024,8,2024-08-30,17599.400390625,17713.619140625,0.648992280787275,True
2024,9,2024-09-30,17713.619140625,18189.169921875,2.6846618834620584,True
2024,10,2024-10-31,18189.169921875,18095.150390625,-0.5168984162214452,True
2024,11,2024-11-29,18095.150390625,19218.169921875,6.206190647809318,True
2024,12,2024-12-31,19218.169921875,19310.7890625,0.48193527792455004,True
2025,1,2025-01-31,19310.7890625,19627.439453125,1.6397589430455106,True
2025,2,2025-02-28,19627.439453125,18847.279296875,-3.974844289359336,True
2025,3,2025-03-31,18847.279296875,17299.2890625,-8.21333525116098,True
2025,4,2025-04-30,17299.2890625,17446.33984375,0.8500394479722617,True
2025,5,2025-05-30,17446.33984375,19113.76953125,9.557475679331917,True
2025,6,2025-06-30,19113.76953125,20369.73046875,6.570974581683475,True
2025,7,2025-07-31,20369.73046875,21122.44921875,3.6952808538864845,True
2025,8,2025-08-29,21122.44921875,21455.55078125,1.5770025485695616,True
