month,observations,average_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct
1,10,3.011319124206869,1.8136874428834826,90.0,10.682381143076158,-8.981096597230199
2,10,-0.590115831925081,-1.4909785608957227,40.0,6.119160898679055,-6.377162183318119
3,10,-0.9575829154480399,0.9473559396804387,60.0,6.6899518885555675,-10.122943303118992
4,10,2.643815544161459,1.5741705959764873,80.0,15.447197983741724,-13.26168062051618
5,10,3.363941392641311,5.557700653796216,70.0,9.557475679331917,-7.933406834365552
6,10,2.648438925944164,5.726986292877278,70.0,7.420893706395515,-8.712982899269706
7,10,3.1771114197088846,2.7663790871842897,80.0,12.349100317618289,-3.203936988807077
8,10,1.7310706802544427,1.4228626094179853,70.0,9.587385655533742,-4.63646668952804
9,9,-1.9735585555605961,-0.7792049993202155,44.44444444444444,5.613740689554225,-10.498976469754972
10,9,0.9223411495222827,3.5669856700295766,55.55555555555556,7.265832106934167,-9.202311437184163
11,9,4.313233664949274,4.366973442449451,88.88888888888889,11.796176442264827,-1.514318549655147
12,9,-0.27009941575617674,0.48193527792455004,66.66666666666666,5.6525512127837185,-9.4844343009027
