month,observations,average_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct
1,10,2.0572537396288393,1.6890032898687068,70.0,7.868440166582613,-5.258516502739385
2,10,-0.5870213742411213,-1.1455218720264726,40.0,5.172064062372317,-8.411048363840312
3,10,-0.986637971479548,0.8767529557159537,50.0,4.2438632533165155,-12.511928240892821
4,10,2.120718421746054,1.1866775205667812,70.0,12.68440381652789,-8.795671180434306
5,10,1.8172606659230428,1.6592296550456131,90.0,6.152382614078289,-6.57777313668354
6,10,1.73626507867513,2.030120303987948,80.0,6.89301639982407,-8.391999993382681
7,10,3.003057179846169,2.2207308679514703,90.0,9.111639173021002,-0.12853961689047733
8,10,1.1974300136750726,2.0950575615833245,70.0,7.006466690171775,-4.244012827299837
9,9,-1.4734795914474499,0.42942874264617625,55.55555555555556,3.5323687218701494,-9.339567201327437
10,9,0.9485383707351538,2.0431770513684056,55.55555555555556,7.98634138370089,-6.94033560936963
11,9,4.230378080202109,3.4047037714499906,88.88888888888889,10.75456354438591,-0.8333706184746159
12,9,-0.143084300152278,0.9831630594270502,55.55555555555556,4.422923115636013,-9.177689467997252
